q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,target,is_synthetic
5,4,3,3,3,5,5,3,3,3,3,1,Original
4,4,2,3,2,5,4,2,2,3,2,0,Original
5,4,5,3,5,5,3,5,5,3,5,0,Original
5,5,2,3,2,5,5,2,2,3,2,0,Original
5,4,3,3,3,5,3,3,3,3,3,0,Original
5,4,4,3,4,5,3,4,4,3,4,0,Original
4,2,3,3,3,5,2,3,3,3,3,0,Original
4,5,2,3,2,5,4,2,2,3,2,0,Original
4,5,3,3,3,5,5,3,3,3,3,0,Original
4,4,4,3,4,4,3,4,4,3,4,0,Original
5,4,5,3,5,5,4,5,5,3,5,0,Original
4,3,3,3,3,5,3,3,3,3,3,0,Original
5,3,2,3,2,5,3,2,2,3,2,0,Original
4,2,3,3,3,3,2,3,3,3,3,0,Original
3,3,5,3,5,5,3,5,5,3,5,0,Original
5,5,4,3,4,5,3,4,4,3,4,0,Original
3,3,4,3,4,3,3,4,4,3,4,0,Original
4,4,3,3,3,5,3,3,3,3,3,0,Original
3,4,2,3,2,5,3,2,2,3,2,0,Original
3,3,4,3,4,5,4,4,4,3,4,0,Original
2,2,3,3,3,5,4,3,3,3,3,0,Original
3,3,5,3,5,5,2,5,5,3,5,0,Original
5,3,3,3,3,5,5,3,3,3,3,0,Original
3,3,2,3,2,5,2,2,2,3,2,1,Original
4,4,4,3,4,4,4,4,4,3,4,0,Original
4,3,3,3,3,5,3,3,3,3,3,1,Original
5,4,1,3,1,5,5,1,1,3,1,0,Original
5,5,4,1,4,5,5,4,4,3,4,0,Original
4,5,4,3,4,5,4,4,4,3,4,0,Original
4,4,4,3,4,5,4,4,4,3,4,0,Original
4,4,4,3,4,5,4,4,4,3,4,0,Original
3,2,2,3,2,5,3,2,2,3,2,1,Original
4,4,4,3,4,5,3,4,4,3,4,0,Original
3,4,3,3,3,4,3,3,3,3,3,0,Original
4,4,4,3,4,5,4,4,4,3,4,0,Original
4,3,3,3,3,5,4,3,3,3,3,0,Original
3,3,3,3,3,1,1,3,3,3,3,0,Original
4,5,4,3,4,5,3,4,4,3,4,0,Original
3,2,2,3,2,2,1,2,2,3,2,0,Original
5,3,4,3,4,5,3,4,4,3,4,0,Original
