q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,target,is_synthetic
4,3,3,3,3,5,3,3,3,3,3,1,Synthetic (SMOTE)
3,2,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,2,2,3,2,5,3,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
4,3,3,3,3,5,3,3,3,3,3,1,Synthetic (SMOTE)
3,2,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
4,3,2,3,2,5,4,2,2,3,2,1,Synthetic (SMOTE)
4,3,3,3,3,5,4,3,3,3,3,1,Synthetic (SMOTE)
3,2,2,3,2,5,3,2,2,3,2,1,Synthetic (SMOTE)
3,2,2,3,2,5,3,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,2,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,2,2,3,2,5,3,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
3,2,2,3,2,5,3,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,3,2,2,3,2,1,Synthetic (SMOTE)
4,3,2,3,2,5,4,2,2,3,2,1,Synthetic (SMOTE)
4,3,2,3,2,5,4,2,2,3,2,1,Synthetic (SMOTE)
3,3,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
4,3,3,3,3,5,3,3,3,3,3,1,Synthetic (SMOTE)
3,2,2,3,2,5,3,2,2,3,2,1,Synthetic (SMOTE)
3,2,2,3,2,5,2,2,2,3,2,1,Synthetic (SMOTE)
4,3,2,3,2,5,3,2,2,3,2,1,Synthetic (SMOTE)
3,2,2,3,2,5,3,2,2,3,2,1,Synthetic (SMOTE)
3,2,2,3,2,5,3,2,2,3,2,1,Synthetic (SMOTE)
